Depth,Time
1,2e-06
2,3e-06
3,4e-06
4,1.4e-05
5,2.2e-05
6,5.7e-05
7,4.1e-05
8,0.000165
9,0.000264
10,0.000168
11,0.000331
12,0.000455
13,0.001735
14,0.001751
15,0.002675
16,0.012018
17,0.012205
18,0.032545
19,0.025463
20,0.076693
21,0.14381
22,0.106657
23,0.1342
24,0.192313
25,0.461321
26,0.395302
27,0.507276
28,0.7171
29,0.848747
30,0.932924
31,5.472108
32,2.884729
33,3.617524
34,2.645675
35,3.307026
36,4.101568
37,5.204204
38,6.270948
39,7.613708
40,9.138727
41,10.871397
42,12.70418
43,14.81981
44,16.941394
45,19.280575
46,21.890978
47,24.566167
48,27.417066
49,30.100712
50,33.042936
51,36.369907
52,38.685183
53,41.266983
54,43.779035
55,46.156155
56,48.377372
57,50.434478
58,52.92988
59,54.586317
60,56.121368
61,57.70583
62,58.734866
63,60.012707
64,60.896559
65,62.272194
66,62.913863
67,63.609402
68,64.297951
69,64.943282
70,65.293478
71,65.765079
72,65.996807
73,66.59717
74,66.512362
75,66.752247
76,67.020675
77,66.997389
78,67.264865
79,67.125297
80,67.209806
81,67.185009
82,67.495024
83,67.475914
84,67.491874
85,67.496479
86,67.328565
87,67.457286
88,67.527622
89,67.404256
90,67.531554
91,67.421944
92,67.406111
93,67.499958
94,67.556893
95,67.511991
96,67.590065
97,67.705243
98,67.685929
99,67.650304
100,67.603207
101,67.495167
102,67.470722
103,67.415531
104,67.460916
105,67.487581
106,67.648922
107,67.509018
108,67.435061
