Depth,Time
1,3e-06
2,5e-06
3,9e-06
4,3.2e-05
5,5.6e-05
6,0.000129
7,0.000147
8,0.000535
9,0.000736
10,0.000588
11,0.001124
12,0.001714
13,0.003597
14,0.006066
15,0.009093
16,0.021435
17,0.03568
18,0.061049
19,0.066962
20,0.137561
21,0.209492
22,0.297495
23,0.374481
24,0.486627
25,0.5532
26,0.450357
27,0.578235
28,0.589559
29,0.547564
30,0.582037
31,0.681707
32,0.704483
33,0.697425
34,0.718221
35,0.707996
36,0.669363
37,0.655333
38,0.608222
39,0.594531
40,0.559482
41,0.488068
42,0.411247
43,0.345182
44,0.303201
45,0.258364
46,0.218318
47,0.188914
48,0.158045
49,0.132064
50,0.112505
51,0.091993
52,0.074054
53,0.060147
54,0.048792
55,0.041756
56,0.033463
57,0.026691
58,0.021243
59,0.016908
60,0.012855
61,0.008914
62,0.006062
63,0.005089
64,0.003905
65,0.003124
66,0.002527
67,0.001932
68,0.001483
69,0.00115
70,0.0009
71,0.000781
72,0.000578
73,0.000502
74,0.000345
75,0.000263
76,0.000189
77,0.000142
78,0.000117
79,7.3e-05
80,4.4e-05
81,3e-05
82,2.5e-05
83,1.2e-05
84,7e-06
85,7e-06
86,5e-06
87,5e-06
88,7e-06
