Depth,Time
1,3e-06
2,2e-06
3,9e-06
4,2.4e-05
5,5.4e-05
6,0.000111
7,0.000162
8,0.000449
9,0.000758
10,0.000729
11,0.001483
12,0.002664
13,0.005487
14,0.010748
15,0.015894
16,0.033836
17,0.052454
18,0.094399
19,0.10413
20,0.197284
21,0.411036
22,0.449387
23,0.576905
24,0.640383
25,0.574545
26,0.626351
27,0.696771
28,0.722915
29,0.693089
30,0.87858
31,0.851382
32,0.798677
33,0.732979
34,0.674056
35,0.635522
36,0.584565
37,0.513223
38,0.456448
39,0.407221
40,0.34503
41,0.294026
42,0.245394
43,0.199494
44,0.164358
45,0.142651
46,0.113876
47,0.095048
48,0.075723
49,0.060982
50,0.049662
51,0.040123
52,0.031852
53,0.02483
54,0.019318
55,0.015259
56,0.009795
57,0.006984
58,0.005333
59,0.004201
60,0.003286
61,0.002767
62,0.002296
63,0.001796
64,0.001492
65,0.00111
66,0.000854
67,0.000638
68,0.000426
69,0.000346
70,0.000281
71,0.0002
72,0.000147
73,9.5e-05
74,5.4e-05
75,3e-05
76,2.7e-05
77,2.5e-05
78,1.5e-05
79,1e-05
80,1e-05
81,8.999999999e-06
82,9e-06
83,1e-05
84,9e-06
85,9e-06
