Depth,Time
1,2.8e-05
2,1e-06
3,3e-06
4,5e-06
5,6e-06
6,1.3e-05
7,2.2e-05
8,0.000163
9,4.7e-05
10,8.2e-05
11,0.000131
12,0.000427
13,0.000746
14,0.001069
15,0.00167
16,0.00271
17,0.004381
18,0.006871
19,0.009392
20,0.011729
21,0.018214
22,0.027983
23,0.114048
24,0.102338
25,0.132222
26,0.150559
27,0.204693
28,0.278488
29,0.270217
30,0.306042
31,0.327374
32,0.335548
33,0.339604
34,0.332071
35,0.315387
36,0.291576
37,0.293975
38,0.245618
39,0.228113
40,0.193971
41,0.164914
42,0.143294
43,0.121388
44,0.099702
45,0.084004
46,0.069985
47,0.059274
48,0.048664
49,0.040756
50,0.033187
51,0.025654
52,0.019542
53,0.016112
54,0.012593
55,0.009482
56,0.007586
57,0.005719
58,0.004502
59,0.00364
60,0.002834
61,0.002258
62,0.00183
63,0.001485
64,0.001174
65,0.000909
66,0.000747
67,0.000579
68,0.000518
69,0.000364
70,0.000296
71,0.000195
72,0.00016
73,0.000126
74,8.4e-05
75,6.4e-05
76,4.8e-05
77,2.3e-05
78,1.7e-05
79,1.3e-05
80,1.1e-05
81,8e-06
82,6e-06
83,6e-06
84,5e-06
